restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,address,entrance,parking,seats,counter_seats,smoking,private_room,store_website,remarks,lecture,cooking_specialties,drinking_specialties,usage_scenes,wifi_available,video,qr_code_payment,phone_number,private,available_drinks,reservation,child_friendly,power_supply_available,foreign_language_support,dress_code,pet_friendly,instagram,facebook,waiting,service,additional_equipment,ic_card_payment,twitter,쇼핑 직무 정보,beer_maker,인근 시설
浅草一文 本店,Asakusa Kazufumi 메인 매장,https://retty.me/area/PRE13/ARE9/SUB902/100000031185/,03-3875-6800,이자카야 해산물과 해산물 닭 요리,"[월요일부터 금요일까지]
저녁 18 : 00-22 : 00
[Sun, Saturday, Holidays, 휴일 전]
저녁 식사 17:00-22:00","하루 종일 개점
새해 휴일","점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔",예,"3-12-6 Asakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Asakusa Station에서 도보로 3 분 거리 (190m)
도쿄 메트로 긴자 라인 / 아사쿠사 역에서 도보 11 분 (820m)
도쿄 메트로 긴자 라인 / 타와 라마치 (도쿄) 역에서 도보 11 분 (860m)",예,90 석,예,"연기 분리
(1 층에있는 시터는 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",https://www.asakasa-ichimon.com,"저희에게 연락 할 때는 휴대 전화를 사용할 수 있습니다.
이해 해주셔서 감사합니다.

전날까지 예약을 변경하거나 취소하십시오.
하루 인 경우 취소 수수료는 100%입니다.","3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 유기농 야채에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리","흡연 허용 저녁 식사, 쌀, 개인 실, 독신 손님을 대상으로 제공, 어린이, 엔터테인먼트, 연회 및 음주 파티, 작별 파티, 환영 파티, 데이트, 소녀 파티, 전적으로 사악한 파티, 온라인 예약, 신년 파티, 인기있는 식당, 예약, 캐주얼
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000031185/archive/972259-5d09ac735d52c.jpg,,,,,,,,,,,,,,,,,,,,
佐藤養助 浅草店,SATO YOSUKE ASAKUSA 매장,https://retty.me/area/PRE13/ARE9/SUB902/100001402691/,050-5462-2614,우동,"[하루 종일]
 10:00-20:00",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",,"Asakusa Mikawaya Main Store, 1-30-12, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 아사쿠사 역에서 도보로 3 분 (170m)
Tsukuba Express / Asakusa 역에서 도보로 6 분 (430m)
도쿄 메트로 진 자 라인 / 타와 라마치 (도쿄) 역에서 도보 8 분 (580m)",,17 석,예,"불가능합니다
(상점에 재떨이가 있습니다 (외부)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://satouyousuke-asakasa.foodre.jp/
https://www.sato-yoske.co.jp/",,,,,"쌀, 점심, 저녁 식사, 술 브런치 페이 페이 지불 이용 가능 PayPay Point 온라인 예약 가능 인기있는 식당 예약 서비스 요리 새해 파티 요리 요리 요리 요리 요리 요리 요리 요리 요리 요리 요리 요리 요리 요리 요리 요리 요리 요리 요리 요리 요리 요리 요리 요리 요리 요리 요리 요리
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001402691/archive/382334-5A953BD297843.png,PayPay,03-5830-8173,,,,,,,,,,,,,,,,,,
中華レストラン パンダ 浅草本店,중국 식당 팬더 아사쿠사 메인 매장,https://retty.me/area/PRE13/ARE9/SUB902/100001633060/,050-5462-1061,이자카야 중국 요리,"[월]
 6:30-23:00
[Sun, 화요일, 금요일, 토요일]
 6 : 30-26 : 00
마감 시간은 하루에 따라 다를 수 있습니다",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드","1-8-5 Kaminarimon, Taito-Ku, 도쿄 호텔 Sunroute Asakusa Main Building 2f
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 타와 라마치 (도쿄) 역에서 도보로 2 분 거리 (110m)
Tsukuba Express / Asakusa 역에서 도보로 3 분 거리 (230m)
도쿄 메트로 진 자 라인 / 아사쿠사 역에서 도보 6 분 (480m)",없음,120 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"[공식적인]
https://restaurant-panda.foodre.jp/
https://www.manli-panda.com/",,,"슈퍼 매운 메뉴, 요리사는 해외에서 훈련하고 매장 내 준비를 준비했습니다",,"점심, 개인 객실, 점심, 저녁 식사, 저녁 식사, 쌀, 단일 파티, 연회 및 음주 파티, 어린이, 개인 객실, Paypay Paysial, 새해 파티, 급여표, 온라인 예약, 연말 파티, 작별 파티, 환영 파티와 함께 ​​즐기십시오.
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001633060/archive/284670-6321aa11c733.jpg,PayPay,03-5830-3577,,,사용 가능한 예약,예,예 (무료),중국인,없음,불가능합니다,,,,,,,,,,
焼肉BEAST,야키 니쿠 짐승,https://retty.me/area/PRE13/ARE9/SUB902/100001423412/,050-5304-5219,야키니쿠 이자카야 테이크 아웃,"[월요일부터 금요일까지]
저녁 식사 17:00-23:00 L.O. 22:30
[태양, 토요일, 휴일]
 13:00-22:00 L.O. 21:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다","새해 휴일 (확인하십시오)
*목요일에 문을 닫았습니다
*새해 공휴일 동안 업무 시간을 요청하십시오.","점심:-
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB","1F, Tatsuno Building, 2-19-5 Asakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Asakusa 역에서 도보로 2 분 거리 (130m)
도쿄 메트로 진 자 라인 / 아사쿠사 역에서 도보로 10 분 (790m)
도쿄 메트로 진 자 라인 / 타와 라마치 (도쿄) 역 (800m)에서 도보로 10 분",없음,"32 석
((6 개의 카운터 좌석, 12 개의 침몰 한 Kotatsu 좌석, 14 개의 테이블 좌석)))))",예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://yakiniku-beast.foodre.jp/
https://yakiniku-beast.com/",,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","우리는 야채 요리, 고기 요리, 식품 생산 공간, 채식 메뉴에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일","저녁, 쌀, 고기, 생일, 데이트, 점심, 엔터테인먼트, 엔터테인먼트, 마시기, 와인, 술 마시기, 지불금 지불, 급여 지불 포인트 받기, 온라인 예약 가능, 새해 파티, 작별 파티, 환영 파티, 인기있는 레스토랑
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001423412/archive/2647489-622e8a15b5479.jpg,PayPay,03-5830-3729,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",사용 가능한 예약,예,,언어 지원 메뉴가 있습니다,,,https://www.instagram.com/yakiniku.beast/,https://www.facebook.com/yakiniku-beast-596836033989436,"개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성","프로젝터, TV 및 모니터 사용 가능",,,,,
浅草 魚料理 遠州屋,아사쿠사 생선 요리 enshuya,https://retty.me/area/PRE13/ARE9/SUB902/100000016138/,050-5304-6873,해산물과 해산물 요리 이자카야 초밥,"[월요일부터 금요일, 토요일, 휴일 전]
점심 11:30-14:00
저녁 식사 17:00-23:00
자세한 내용은 공식 웹 사이트를 확인하십시오.
마지막 점심 예약은 오후 1시입니다.","매주 일요일과 공휴일
연회, 저녁 식사 등에 대한 사전 예약을하면 귀하의 요구에 대해 기꺼이 논의 할 것입니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB","Enshuya, 2-2-7 Kotobuki, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 타와 라마치 (도쿄) 역에서 도보로 1 분 거리 (79m)
Toei Oedo Line / Kuramae 역에서 도보로 5 분 (400m)
Tsukuba Express / Asakusa 역에서 도보로 6 분 (440m)","없음
근처 (할인 없음) 사용 가능","170 석
(1 층에 최대 60 명까지 크고 작은 개인 실이있는 7 개의 개인 객실)",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"[공식적인]
https://enshuuya.foodre.jp/
http://www.enshuuya.co.jp/",,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.",우리는 생선 요리에 대해 특히 그렇습니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리","저녁 식사, 연회 및 음료, 엔터테인먼트, 개인 실, 점심, 점심, 혼자서 마시기, 성인을 위해 괜찮아, 급여 지불 지불을위한 은신처, 저녁 식사, 급여표, 온라인 예약, 작별 파티, 인기있는 식당
다른 사용 장면을 참조하십시오",없음,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000016138/archive/126363-5dcb8254d98dd.jpg,PayPay,03-3844-2363,,,사용 가능한 예약,"예
유아, 유치원 어린이, 초등학생을 환영합니다",,"영어 중국어 한국
언어 지원 메뉴가 있습니다",없음,불가능합니다,https://www.instagram.com/sakanaryourienshuuya/,,"차분한 분위기
단독 주택 레스토랑
숨는 곳
골목을 향합니다",,,,,,,
Dochaku,도 차쿠,https://retty.me/area/PRE13/ARE9/SUB902/100001673390/,050-5462-6247,이탈리아 요리 이자카야,"[월요일부터 금요일까지, 휴일 전]
 17:00-23:00 L.O. 22:30
[토양]
 15:00-23:00 L.O. 22:30
[일요일과 휴일]
 15:00-21:00 L.O. 20:30
영업 시간은 하루에 따라 다를 수 있습니다
봐라. 요리 : 1 시간 전 음료 : 30 분 전","매주 목요일
새해 휴일 (확인하십시오)
공휴일에 열립니다
자세한 내용은 Instagram과 Google을 방문하십시오.","점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","2-17-11 Nishi-Asakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Asakusa Station에서 도보로 3 분 거리 (210m)
도쿄 메트로 진 자 라인 / 타와 라마치 (도쿄) 역에서 도보로 5 분 거리 (380m)
도쿄 메트로 진 자 라인 / 아사쿠사 역에서 도보로 10 분 (790m)","없음
근처 (할인 없음) 사용 가능",28 석,예,"불가능합니다
(상점 외부에는 흡연 공간이 있습니다 (입구의 한 곳. 개인 3 층의 테라스에서도 흡연을 이용할 수 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","[공식적인]
https://dochaku.foodre.jp/","[개인 사용에 관한]
예약을 위해 전화로 저희에게 연락하십시오

[적격 송장에 대해 영수증이 발행 될 수 있습니다]
*최신 등록 상태의 경우, 국가 세금 기관의 송장 시스템 자격 송장 발행 회사를 확인하거나 매장에 문의하십시오.","5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 유기농 야채 및 채식 메뉴에 특히 적합합니다.","맥주, 쇼카, 와인, 위스키, 칵테일","All-you-can-drink farewell party private room private room dinth dinning gunper dinner girls girls 'nights all paypay 지불 이용 가능 크리스마스 2024 성인 년 연말 파티 세련된 Meriku 성인 새해 파티 세련된 성인 날짜
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001673390/archive/3383206-66c6c6c9f8cbf7c.jpg,PayPay,03-6231-6010,예,"5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",사용 가능한 예약,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,"영어
언어 지원 메뉴가 있습니다",,,https://www.instagram.com/dochaku21711,,"차분한 분위기
단독 주택 레스토랑
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",,"Suica, Quicpay",,,,
吟しゃも,진 샤모,https://retty.me/area/PRE13/ARE9/SUB902/100000097197/,050-5462-3736,이자카야 야키토리 해산물과 해산물,"[월요일부터 금요일까지, 휴일 전]
점심 11:30-14:30 L.O. 14:00
저녁 식사 17:00-22:45 L.O. 21:45
재료가 다 떨어지 자마자 점심 시간에 가게가 문을 닫습니다. 우리는 토요일에 18:00에서 22:00 (L.O 21:00)에 문을 열 것입니다.",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB","Daiichi Arai Building 1f, 2-3-4 Komagata, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Kuramae 역에서 도보로 1 분 (49m)
도쿄 메트로 진 자 라인 / 아사쿠사 역에서 도보 6 분 (420m)
도쿄 메트로 진 자 라인 / 타와 라마치 (도쿄) 역에서 도보 8 분 (580m)","없음
근처 (할인 없음) 사용 가능",50 석,예,"불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://ginshamo.foodre.jp/",9 명 이상으로 예약하는 경우 매장에 직접 전화하십시오. [Private] 20 ~ 30 명을 대상으로 20 ~ 30 명을 위해 임대 할 수 있도록 뒷면의 테이블에서 임대 할 수 있습니다.,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","우리는 고기 요리, 생선 요리 및 식품 생산 공간에 특히 그렇습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일","데이트 점심 점심 점심 점심 식사 저녁 식사와 함께 즐기십시오. 어린이 연회 및 마시는 파티와 함께 ​​즐기십시오.
다른 사용 장면을 참조하십시오",없음,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100000097197/archive/158513-5e86b97bcd86d.jpg,,03-5828-5727,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명","전산 된 가격 : 2,000-2,999 엔, 4,000-4,999 엔의 싱크 링크, 5,000 엔 이상의 싱글 링크, 2 시간 동안 all-you-can-drink",사용 가능한 예약,"예
유아, 유치원 어린이, 초등학생을 환영합니다",,,,,,,"조용한 가게
차분한 분위기",,,,,,,
たんじろう,탄 지로,https://retty.me/area/PRE13/ARE9/SUB902/100001574684/,03-6231-7630,이자카야 쇠고기 혀,"[Sun, 화요일, 금요일, 토요일 및 휴일]
 12:00-15:00
 17:00-23:00
팔리 자마자 끝납니다
마감 시간은 하루에 따라 다를 수 있습니다","매주 월요일
공휴일이라면 다음날 문을 닫습니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","Uchida Building 1f, 3-2-9 Nishi-Asakusa, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Asakusa Station에서 도보로 2 분 거리 (88m)
도쿄 메트로 진 자 라인 / 타와 라마치 (도쿄) 역에서 도보로 7 분 거리 (500m)
도쿄 메트로 진 자 라인 / 아사쿠사 역에서 도보 10 분 (730m)",없음,"24 석
(4 인 테이블, 4 석, 6 석 테이블, 2 석)",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://tanjirou.com/,,,"고기 요리, 소유자-체프 및 매장 준비 전문","맥주, 사케, 쇼치, 와인, 위스키, 칵테일","어린이, 고기, 저녁 식사, 점심, 연말 파티, 새해 파티, 개인 파티, 작별 파티, 환영 파티, 점심 음주, 온라인 예약 가능
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001574684/archive/2429928-60F0F267B33333332.jpg,,,"불가능합니다
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 10 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 5,000 엔 이상, 2 시간의 싱글 링크",사용 가능한 예약,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,,없음,불가능합니다,,,"천장이 높습니다
차분한 분위기
숨는 곳
골목을 향합니다",테이크 아웃 가능성,,,,,,
ORTIGA,오티가,https://retty.me/area/PRE13/ARE9/SUB902/100001667318/,050-5462-7314,카페 테이크 아웃,"[Sun, 월요일, 목요일, 금요일, 토요일]
 8:00-18:00 L.O. 16:00
식사는 오후 4 시까 지 발표됩니다.
오후 6 시까 지 카페를 사용할 수 있습니다.

*새해 공휴일에 대한 정보는 상점의 Instagram을 방문하십시오.","매주 화요일마다 수요일 매주 화요일
새해 휴일 (확인하십시오)
새해 공휴일은 상점의 인스 타 그램을 방문하십시오.","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",예,"2-16-13 Kaminarimon, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 아사쿠사 역에서 도보로 3 분 (240m)
Tsukuba Express / Asakusa 역에서 도보로 5 분 (360m)
도쿄 메트로 진 자 라인 / 타와 라마치 (도쿄) 역에서 도보 5 분 (390m)","없음
근처 (할인 없음) 사용 가능","39 석
(1 층에 7 석, 2 층에 30 석)","예
(카운터 좌석이 있지만 스탠드를 사용할 것입니다.)","연기 분리
흡연실 사용 가능
(사용자 만 외부에 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://ortiga.foodre.jp/
https://ortiga-asakasa.com/","PayPay가 지원됩니다.

아사쿠사 역은 가장 가까운 역입니다.
Toei Asakusa 라인
・ 도쿄 메트로 긴자 라인
Tobu Skytree 라인",,"알레르기가있는 고객, 어린이가 이용 가능하며 매장 내 준비 가능","맥주, 와인, 위스키, 칵테일","아침 식사, 점심, 점심, 아이들과 함께 즐기십시오. 한 사람이 즐길 수 있습니다. 세련된, 주차, 브런치, 영어권, 개인, 식사, 세련된, 무료 Wi-Fi, 전동 카페
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001667318/archive/3483427-6764d5488da1f.jpg,,03-5246-4470,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",,사용 가능한 예약,"예
유아 및 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있고, 어린이 메뉴 이용 가능",예 (무료),,없음,"예
매장 내에서 사용 가능, 외부, 물이 제공됩니다",https://www.instagram.com/ortiga_asakasa/,,"개방성이 있습니다
차분한 분위기
숨는 곳
골목을 향합니다",테이크 아웃 가능성,,,https://x.com/i/flow/login?redirect_after_login=%2fortiga_asakasa,,,
MOOKATA 浅草,Mookata Asakusa,https://retty.me/area/PRE13/ARE9/SUB902/100001723974/,03-5830-7121,태국 음식 이자카야,"[월요일부터 금요일까지]
저녁 식사 17:00-23:00
[태양/토요일]
 12:00-23:00
자세한 내용은 공식 웹 사이트를 확인하십시오.
https://www.instagram.com/mookata_asakusa/",가게가 닫히면 상점에 확인하십시오.,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB","아사쿠사 지하 쇼핑몰 No. 15, 1-1-12 아사쿠사, 타이토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 아사쿠사 역에서 도보 1 분 (36m)
Tsukuba Express / Asakusa Station에서 도보로 8 분 (620m)
도쿄 메트로 진 자 라인 / 타와 라마치 (도쿄) 역에서 도보 10 분 (730m)",없음,19 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://mookata-asakasa.foodre.jp/",PayPay/ID 결제 가능,,"우리는 고기 요리, 수입 재료, 지역을 생산하는 것에 대해 특히 그렇습니다. 우리는 소유자-초프 및 매장 준비에 대해 특히 알고 있습니다.",이용 가능한 맥주,"쌀, 저녁 식사, 점심, 지불금 지불 가능, 급여표 포인트, 온라인 예약 가능, 점심, 작별 파티, 환영 파티, 인기있는 식당 예약
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001723974/archive/3209490-6576B89E99BDB.JPEG,PayPay,,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) : 15 명
최대 20 명까지 임대 할 수 있습니다",,사용 가능한 예약,예,,,,불가능합니다,https://www.instagram.com/mookata_asakusa/,,"활발한 상점
숨는 곳
테라스가 있습니다",,,"Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca",https://x.com/mookata_asakasa,,,
